"d","b","mismatch_prop"
11,1,0.0909090909090909
10,0,0
12,0,0
14,0,0
11,0,0
9,0,0
11,7,0.636363636363636
9,0,0
8,0,0
12,0,0
8,0,0
4,1,0.25
14,0,0
7,0,0
9,5,0.555555555555556
9,0,0
11,0,0
5,0,0
14,0,0
14,0,0
12,0,0
12,0,0
6,0,0
5,0,0
6,0,0
8,0,0
12,0,0
6,0,0
7,0,0
11,0,0
7,0,0
18,0,0
9,0,0
9,3,0.333333333333333
10,0,0
10,0,0
7,1,0.142857142857143
8,0,0
8,0,0
5,0,0
15,10,0.666666666666667
14,0,0
11,0,0
12,0,0
8,4,0.5
15,0,0
12,0,0
12,0,0
9,0,0
14,0,0
6,0,0
7,0,0
11,0,0
6,0,0
12,5,0.416666666666667
11,0,0
14,1,0.0714285714285714
14,1,0.0714285714285714
9,3,0.333333333333333
10,0,0
6,0,0
9,0,0
7,0,0
11,0,0
8,0,0
12,0,0
13,1,0.0769230769230769
13,0,0
9,0,0
2,0,0
6,0,0
7,0,0
6,0,0
10,3,0.3
10,0,0
12,0,0
11,0,0
5,4,0.8
11,0,0
7,0,0
12,0,0
15,9,0.6
7,0,0
15,1,0.0666666666666667
7,4,0.571428571428571
9,4,0.444444444444444
13,0,0
10,0,0
5,2,0.4
14,0,0
13,8,0.615384615384615
14,0,0
7,0,0
6,0,0
10,0,0
7,0,0
9,0,0
13,0,0
5,0,0
15,0,0
